,0,1,2
317,1487,302,248.0
318,536,2082,176.0
319,525,1062,1550.0
320,751,3837,328.0
321,1311,2414,278.0
322,1676,119,347.0
323,1525,1135,499.0
324,1508,1222,184.0
325,1538,1868,159.0
326,290,346,63.0
327,1070,4173,158.0
328,1854,1175,9.0
329,1145,2136,219.0
330,998,865,183.0
331,182,1170,16.0
332,891,252,404.0
333,987,893,61.0
334,169,1879,292.0
335,815,496,49.0
336,1427,336,134.0
337,833,512,4549.0
338,285,118,36.0
339,211,143,146.0
340,1678,4131,493.0
341,698,3141,479.0
342,551,1451,22.0
343,167,811,315.0
344,1103,2670,37.0
345,969,967,120.0
346,847,309,4705.0
347,1450,1065,156.0
348,459,924,211.0
349,1825,133,4.0
350,1751,3327,175.0
351,1044,973,325.0
352,924,2939,69.0
353,256,323,439.0
354,1705,932,266.0
355,355,1546,1027.0
356,722,712,421.0
357,1732,2967,63.0
358,1769,185,2987.0
359,1461,2141,902.0
360,620,344,132.0
361,1364,1298,26.0
362,1648,1600,88.0
363,1353,702,176.0
364,1753,434,898.0
365,496,192,181.0
366,1269,1684,6.0
367,1075,291,300.0
368,978,2503,89.0
369,1095,674,568.0
370,205,696,73.0
371,1369,695,271.0
372,1470,1386,329.0
373,780,3722,364.0
374,1531,824,119.0
375,1363,3110,356.0
376,1302,2098,143.0
377,1044,3842,513.0
378,289,592,479.0
379,1,61,1471.0
380,760,759,646.0
381,71,1381,128.0
382,1616,165,200.0
383,735,3760,538.0
384,415,1504,353.0
385,1442,829,152.0
386,1718,1997,99.0
387,1057,665,500.0
388,1530,2645,623.0
389,557,1635,4360.0
390,1051,451,975.0
391,633,496,887.0
392,1259,333,109.0
393,326,1220,257.0
394,694,877,11828.0
395,1157,4063,157.0
396,967,2018,62.0
397,432,438,1805.0
398,325,829,1868.0
399,1479,2116,67.0
400,1141,342,5479.0
401,76,1093,239.0
402,1177,682,21.0
403,1637,1095,116.0
404,827,897,212.0
405,1547,1192,481.0
406,1536,732,117.0
407,1164,4222,2248.0
408,1721,245,99.0
409,293,1876,764.0
410,188,2434,1736.0
411,805,891,66.0
412,1396,1337,286.0
413,241,6,261.0
414,1518,1815,2670.0
415,1676,2595,267.0
416,661,3965,2.0
417,771,771,239.0
418,1242,4210,164.0
419,806,2403,111.0
420,1845,87,41.0
421,482,2201,674.0
422,783,4129,213.0
423,858,421,523.0
424,49,610,423.0
425,1294,157,95.0
426,1124,711,96.0
427,1271,377,590.0
428,1453,1996,191.0
429,1862,343,459.0
430,354,837,74.0
431,763,3803,111.0
432,86,1576,284.0
433,147,243,208.0
434,1342,2571,1226.0
435,176,2371,131.0
436,970,960,101.0
437,541,493,243.0
438,393,959,8.0
439,340,960,223.0
440,947,352,73.0
441,1102,1654,952.0
442,1545,2185,75.0
443,502,3645,36.0
444,1352,3719,8.0
445,1760,2744,101.0
446,9,252,527.0
447,1692,683,2192.0
448,894,1173,203.0
449,954,3949,55.0
450,962,2429,759.0
451,495,1032,58.0
452,238,924,758.0
453,1091,49,852.0
454,798,3647,266.0
455,719,1070,16.0
456,358,1312,611.0
457,1716,2453,219.0
458,359,91,236.0
459,356,2575,169.0
460,1348,3464,210.0
461,946,2277,1341.0
462,651,99,1113.0
463,455,2717,22.0
464,197,2539,98.0
465,400,720,978.0
466,212,531,8065.0
467,330,2063,128.0
468,1565,516,346.0
469,941,137,67.0
470,1649,779,47.0
471,460,516,551.0
472,672,3065,1355.0
473,69,1343,2.0
474,1389,311,81.0
475,1546,704,3585.0
476,1072,1788,543.0
477,101,1733,207.0
478,1679,1013,115.0
479,1391,981,19.0
480,921,1752,319.0
481,1557,288,138.0
482,1332,418,102.0
483,733,4060,78.0
484,402,107,915.0
485,1054,1706,1056.0
486,960,1914,127.0
487,907,258,290.0
488,893,1699,40.0
489,1718,1629,237.0
490,366,143,56.0
491,856,1300,53.0
492,996,349,284.0
493,1235,1829,37.0
494,61,349,141.0
495,1576,2631,73.0
496,185,2349,1571.0
497,649,440,98.0
498,858,684,8020.0
499,1006,106,59.0
500,1365,1958,242.0
501,400,764,326.0
502,1018,1686,186.0
503,1093,336,153.0
504,176,2152,45.0
505,1767,1889,3637.0
506,456,1095,1869.0
507,581,1015,363.0
508,1340,1691,1252.0
509,660,3434,14.0
510,1707,473,105.0
511,514,3664,1985.0
512,1433,875,161.0
513,936,683,463.0
514,1550,1207,1572.0
515,667,559,119.0
516,953,3798,238.0
517,1418,1922,360.0
518,1071,1644,1261.0
519,1768,923,728.0
520,340,2699,233.0
521,1212,625,875.0
522,1017,2596,2633.0
523,779,913,242.0
524,220,1994,117.0
525,1388,324,102.0
526,1482,4093,290.0
527,853,115,749.0
528,850,2082,557.0
529,715,564,1284.0
530,942,1178,649.0
531,39,614,580.0
532,208,2591,3584.0
533,1775,2911,3393.0
534,1833,1065,1093.0
535,556,1325,1698.0
536,1373,1684,556.0
537,1720,768,214.0
538,29,702,93.0
539,652,94,514.0
540,804,2107,95.0
541,556,516,1416.0
542,87,1585,209.0
543,835,66,265.0
544,646,2691,160.0
545,92,1660,10.0
546,850,3427,2379.0
547,595,347,207.0
548,898,1334,1169.0
549,1762,3267,48.0
550,81,439,129.0
551,761,3555,1253.0
552,1820,4219,2588.0
553,800,819,475.0
554,1739,1956,2777.0
555,280,250,201.0
556,1611,1893,136.0
557,988,577,4604.0
558,1438,188,86.0
559,616,2859,167.0
560,1077,926,103.0
561,1613,2574,263.0
562,1875,700,314.0
563,683,96,50.0
564,1432,923,1379.0
565,1082,3601,289.0
566,1252,1286,744.0
567,422,102,86.0
568,66,119,621.0
569,772,962,90.0
570,89,828,13.0
571,1801,3297,344.0
572,408,416,649.0
573,71,1375,170.0
574,1540,122,724.0
575,1662,2450,113.0
576,808,737,328.0
577,1016,1523,244.0
578,1657,3526,116.0
579,984,1015,144.0
580,920,369,1.0
581,145,1580,79.0
582,1749,1567,654.0
583,1179,745,106.0
584,1648,1411,80.0
585,1280,347,263.0
586,1348,1311,401.0
587,825,25,225.0
588,1438,900,143.0
589,1340,2463,3096.0
590,432,1711,510.0
591,1694,4217,382.0
592,375,1187,956.0
593,1503,2476,600.0
594,1306,421,475.0
595,917,105,2232.0
596,1083,66,466.0
597,891,1644,365.0
598,1764,956,241.0
599,425,1742,3678.0
600,1002,1336,63.0
601,75,1446,85.0
602,308,2149,1422.0
603,411,1858,1244.0
604,1128,3243,7606.0
605,607,3870,49.0
606,1080,796,567.0
607,1276,493,936.0
608,1177,1092,42.0
609,862,1568,274.0
610,625,513,243.0
611,1142,313,406.0
612,1699,2811,381.0
613,80,110,724.0
614,1746,2990,289.0
615,1258,1341,17.0
616,627,1384,101.0
617,1797,1984,97.0
618,680,3110,1448.0
619,144,1527,307.0
620,1292,966,1027.0
621,566,3799,17.0
622,1449,3994,424.0
623,789,3833,300.0
624,1293,718,108.0
625,411,3352,718.0
626,533,3348,387.0
627,1175,2172,17.0
628,755,129,81.0
629,415,1780,265.0
630,196,2076,227.0
631,1180,1095,61.0
632,1108,1222,390.0
633,275,1044,97.0
634,908,2022,588.0
635,247,2814,182.0
636,658,1379,547.0
637,497,680,149.0
638,1737,1912,2942.0
639,1741,2452,1166.0
640,578,1393,4081.0
641,1527,1683,184.0
642,12,338,2.0
643,466,1341,142.0
644,106,1792,847.0
645,984,1176,120.0
646,1341,674,231.0
647,1041,2116,1337.0
648,1386,905,255.0
649,1271,382,624.0
650,1531,349,89.0
651,1657,175,216.0
652,239,482,785.0
653,1646,4047,16.0
654,1150,3084,414.0
655,1370,152,142.0
656,1867,785,233.0
657,1861,483,145.0
658,1053,4066,370.0
659,221,1307,379.0
660,1613,1341,364.0
661,861,2604,1129.0
662,1368,1756,377.0
663,991,1490,290.0
664,913,4269,130.0
665,1373,438,747.0
666,539,1219,137.0
667,844,449,364.0
668,1870,337,139.0
669,579,131,312.0
670,57,892,486.0
671,1147,938,1238.0
672,1644,334,586.0
673,360,183,1306.0
674,1650,2001,203.0
675,599,734,229.0
676,991,3032,1010.0
677,1218,729,294.0
678,14,374,466.0
679,548,324,598.0
680,238,2753,1240.0
681,1868,1344,105.0
682,991,1386,274.0
683,474,1956,110.0
684,649,3944,444.0
685,1198,344,143.0
686,773,737,2140.0
687,1568,1273,247.0
688,1425,1051,95.0
689,1617,3699,500.0
690,1499,320,164.0
691,1329,4392,1521.0
692,893,432,233.0
693,542,2013,68.0
694,356,165,5143.0
695,960,2486,344.0
696,479,544,25.0
697,176,2374,28.0
698,629,2159,242.0
699,1816,1882,699.0
700,980,3535,190.0
701,1566,588,1176.0
702,1023,1666,454.0
703,1286,296,414.0
704,1651,3424,567.0
705,1310,2632,98.0
706,252,2479,706.0
707,425,3469,3019.0
708,1627,188,424.0
709,1828,262,98.0
710,1886,3943,93.0
711,1463,42,57.0
712,237,138,460.0
713,149,2122,18.0
714,349,715,2076.0
715,759,1527,238.0
716,632,219,301.0
717,658,2791,2857.0
718,748,416,128.0
719,368,1024,118.0
720,933,177,284.0
721,1245,1708,161.0
722,421,284,1019.0
723,821,4004,155.0
724,551,273,20.0
725,922,913,424.0
726,1749,1699,612.0
727,259,746,821.0
728,1183,2067,654.0
729,652,647,332.0
730,844,2197,363.0
731,1534,1057,98.0
732,1095,420,179.0
733,1264,837,322.0
734,1233,1307,181.0
735,59,138,249.0
736,1197,981,1119.0
737,972,3591,1616.0
738,204,2577,32.0
739,1780,265,1065.0
740,6,181,773.0
741,1795,3492,536.0
742,834,691,85.0
743,154,2176,964.0
744,842,455,857.0
745,1866,577,413.0
746,123,314,748.0
747,778,726,224.0
748,1657,677,98.0
749,1867,505,76.0
750,263,2893,10.0
751,818,296,177.0
752,1362,650,814.0
753,1162,682,145.0
754,134,1544,148.0
755,995,1482,174.0
756,165,115,195.0
757,1678,2271,381.0
758,1179,101,1511.0
759,886,661,20.0
760,101,1431,242.0
761,719,331,17.0
762,130,673,1408.0
763,1248,2976,201.0
764,376,1521,2317.0
765,1391,2106,16.0
766,1254,46,317.0
767,692,2595,1178.0
768,332,961,11.0
769,557,1194,456.0
770,253,50,539.0
771,258,618,20.0
772,680,759,626.0
773,223,421,606.0
774,64,59,888.0
775,458,550,46.0
776,314,191,427.0
777,1229,177,134.0
778,1325,1220,515.0
779,1526,256,278.0
780,1139,2321,53.0
781,1552,431,304.0
782,665,1416,1.0
783,1760,4411,184.0
784,1728,3411,509.0
785,713,1193,212.0
786,1609,3297,384.0
787,901,4251,229.0
788,1739,4070,403.0
789,604,719,411.0
790,101,1743,84.0
791,1387,683,1592.0
792,1217,2286,13.0
793,175,2369,85.0
794,18,475,124.0
795,730,1273,45.0
796,1241,2261,226.0
797,1013,678,1043.0
798,1373,546,498.0
799,1240,417,90.0
800,240,99,554.0
801,559,3776,425.0
802,351,1222,587.0
803,451,3544,372.0
804,1578,1523,1832.0
805,1564,3199,7.0
806,506,1068,2439.0
807,1694,2061,190.0
808,917,168,201.0
809,1816,1767,480.0
810,1114,685,35.0
811,1474,571,1003.0
812,1873,2301,1025.0
813,1374,513,64.0
814,169,2028,482.0
815,1662,3443,286.0
816,1586,309,357.0
817,1559,2432,354.0
818,795,2478,32.0
819,79,1492,208.0
820,1405,1599,326.0
821,1157,985,129.0
822,1253,2444,262.0
823,1300,265,611.0
824,269,924,293.0
825,111,1842,1.0
826,590,256,109.0
827,1166,1470,163.0
828,601,422,224.0
829,911,3677,99.0
830,1359,58,150.0
831,1849,3371,2.0
832,99,744,151.0
833,420,101,585.0
834,149,1894,18.0
835,909,1068,351.0
836,1653,673,319.0
837,62,1206,215.0
838,579,1698,283.0
839,1279,209,141.0
840,176,924,37.0
841,408,625,1394.0
842,781,547,375.0
843,613,2778,105.0
844,92,1034,17.0
845,353,1592,54.0
846,819,272,572.0
847,306,1451,88.0
848,1382,443,321.0
849,962,1386,708.0
850,1217,541,80.0
851,195,1176,60.0
852,1150,437,341.0
853,1883,3749,438.0
854,1491,611,69.0
855,1388,837,103.0
856,1394,1198,243.0
857,1678,1714,492.0
858,1336,4462,18.0
859,1681,2153,488.0
860,403,1222,1441.0
861,607,438,48.0
862,1577,1057,150.0
863,212,313,2178.0
864,172,137,620.0
865,961,91,16.0
866,995,106,119.0
867,68,730,724.0
868,805,2153,84.0
869,1575,1639,522.0
870,1689,2885,3.0
871,693,72,54.0
872,1057,50,367.0
873,971,1053,718.0
874,1772,2343,554.0
875,948,66,331.0
876,1797,2832,57.0
877,946,502,607.0
878,199,1174,175.0
879,298,88,2638.0
880,297,394,1920.0
881,1594,308,218.0
882,755,111,480.0
883,1671,88,145.0
884,243,2518,273.0
885,1618,258,1073.0
886,1282,4280,210.0
887,41,919,225.0
888,1104,929,1563.0
889,1116,653,623.0
890,70,561,386.0
891,831,4180,249.0
892,281,2985,302.0
893,158,732,7700.0
894,1781,911,346.0
895,1679,604,133.0
896,1304,310,316.0
897,748,458,95.0
898,1495,421,546.0
899,1535,2706,255.0
900,79,1487,297.0
901,203,1341,75.0
902,1508,1527,127.0
903,1846,325,375.0
904,632,334,150.0
905,995,827,755.0
906,422,930,30.0
907,393,1047,8.0
908,1729,2602,16.0
909,561,2517,92.0
910,44,296,256.0
911,528,2555,438.0
912,1621,3021,105.0
913,651,221,3642.0
914,244,682,381.0
915,1172,3206,294.0
916,155,2009,2368.0
917,518,290,293.0
918,1856,192,23.0
919,430,1425,213.0
920,392,577,259.0
921,1417,342,342.0
922,1206,1298,839.0
923,306,189,149.0
924,438,1217,270.0
925,1654,996,1152.0
926,900,3453,86.0
927,229,66,913.0
928,257,1,483.0
929,509,231,380.0
930,1530,331,1321.0
931,1510,117,323.0
932,90,1640,85.0
933,584,3224,216.0
934,1557,1341,719.0
935,293,8,138.0
936,1213,1635,1550.0
937,1732,1631,139.0
938,611,1425,1284.0
939,454,3548,148.0
940,526,573,336.0
941,999,2570,2.0
942,1623,991,19.0
943,345,1736,385.0
944,557,2968,255.0
945,1718,1215,215.0
946,365,304,640.0
947,1733,416,285.0
948,410,30,15.0
949,1790,128,1545.0
950,154,169,2094.0
951,1431,2526,61.0
952,1568,4014,261.0
953,425,23,4675.0
954,59,372,361.0
955,352,59,1.0
956,281,2984,356.0
957,348,1427,318.0
958,1073,506,1263.0
959,1226,1221,1517.0
960,782,310,178.0
961,418,2840,172.0
962,152,1188,105.0
963,261,791,1378.0
964,423,636,142.0
965,14,383,346.0
966,497,3134,77.0
967,1790,116,1389.0
968,1202,610,167.0
969,997,2101,632.0
970,577,571,367.0
971,823,4169,212.0
972,1146,308,389.0
973,672,349,142.0
974,397,531,321.0
975,1208,2741,532.0
976,852,4137,207.0
977,104,844,267.0
978,1388,518,19.0
979,558,2529,307.0
980,214,1391,451.0
981,1266,1591,347.0
982,1830,1176,106.0
983,1257,2999,266.0
984,1314,2716,1002.0
985,9,253,483.0
986,192,2479,44.0
987,298,1386,449.0
988,1105,2361,83.0
989,1064,696,2336.0
990,380,3332,276.0
991,1276,3523,21.0
992,1571,3897,216.0
993,49,844,345.0
994,1483,706,162.0
995,106,152,796.0
996,770,601,78.0
997,1217,1196,21.0
998,78,1070,115.0
999,1713,188,760.0
1000,1534,188,103.0
1001,773,4034,3205.0
1002,255,168,2330.0
1003,151,2143,21.0
1004,1634,924,1810.0
1005,146,1147,96.0
1006,1561,2111,96.0
1007,1441,1310,535.0
1008,1650,258,230.0
1009,996,4068,248.0
1010,1226,798,347.0
1011,687,2147,44.0
1012,1775,2277,2665.0
1013,363,1869,3253.0
1014,799,373,1476.0
1015,609,3889,43.0
1016,720,94,14.0
1017,253,1756,17.0
1018,1621,788,130.0
1019,1294,1366,2628.0
1020,1701,3224,1429.0
1021,445,976,163.0
1022,675,1041,359.0
1023,1258,490,17.0
1024,1539,584,17.0
1025,328,1035,609.0
1026,234,2726,377.0
1027,785,1221,1707.0
1028,1735,4332,73.0
1029,541,969,118.0
1030,1665,523,430.0
1031,724,297,1696.0
1032,570,1490,3.0
1033,1440,682,219.0
1034,1220,1840,10.0
1035,1495,1922,366.0
1036,1304,2436,776.0
1037,94,29,87.0
1038,1667,445,259.0
1039,816,1569,103.0
1040,22,572,833.0
1041,351,1993,181.0
1042,1763,561,4244.0
1043,828,513,889.0
1044,1755,745,295.0
1045,880,2082,6354.0
1046,732,338,55.0
1047,1075,1590,463.0
1048,434,439,5151.0
1049,408,349,662.0
1050,1085,2040,1357.0
1051,645,365,693.0
1052,1659,902,259.0
1053,927,339,1656.0
1054,1660,3505,4.0
1055,581,2907,106.0
1056,1015,233,103.0
1057,502,340,48.0
1058,500,967,1394.0
1059,528,538,192.0
1060,1728,4270,352.0
1061,1398,345,318.0
1062,1506,3553,9.0
1063,1390,87,36.0
1064,1293,2294,197.0
1065,603,1880,244.0
1066,1434,126,3274.0
1067,153,2065,220.0
1068,1241,2331,637.0
1069,1180,296,56.0
1070,1771,167,234.0
1071,882,102,91.0
1072,915,237,125.0
1073,982,1630,211.0
1074,1132,3161,329.0
1075,1004,967,1486.0
1076,1263,1639,200.0
1077,1385,358,1630.0
1078,1244,320,384.0
1079,1491,198,81.0
1080,1286,412,788.0
1081,993,2022,937.0
1082,319,142,2016.0
1083,485,1683,129.0
1084,391,1997,413.0
1085,1266,2476,414.0
1086,707,2712,192.0
1087,268,343,124.0
1088,1079,3205,113.0
1089,1116,724,1039.0
1090,84,182,42.0
1091,1304,1315,503.0
1092,1712,389,314.0
1093,802,2109,3428.0
1094,1842,2988,343.0
1095,1216,1313,422.0
1096,414,107,51.0
1097,1280,1922,302.0
1098,1205,1949,314.0
1099,701,785,187.0
1100,274,421,473.0
1101,875,1121,881.0
1102,1208,330,777.0
1103,673,2674,64.0
1104,293,2308,444.0
1105,1860,106,764.0
1106,1319,828,35.0
1107,1582,2678,333.0
1108,784,1910,210.0
1109,1830,1683,180.0
1110,247,1454,273.0
1111,1728,1712,313.0
1112,1332,4001,263.0
1113,1851,3475,235.0
1114,78,1472,301.0
1115,186,349,32.0
1116,935,818,168.0
1117,1057,3097,604.0
1118,950,38,15.0
1119,1111,1164,232.0
1120,1101,347,238.0
1121,1761,187,303.0
1122,1056,385,298.0
1123,6,169,2356.0
1124,1690,1506,242.0
1125,717,447,2896.0
1126,259,7,532.0
1127,920,4278,6.0
1128,1283,990,93.0
1129,1392,497,692.0
1130,1818,926,38.0
1131,132,173,257.0
1132,1162,178,1043.0
1133,380,929,249.0
1134,439,2460,181.0
1135,943,246,397.0
1136,966,3224,1489.0
1137,1365,454,741.0
1138,362,150,3640.0
1139,1687,1929,183.0
1140,115,208,304.0
1141,119,476,2643.0
1142,41,461,3115.0
1143,1320,539,58.0
1144,1090,1317,13534.0
1145,557,1605,310.0
1146,848,3079,243.0
1147,795,2272,213.0
1148,1764,441,271.0
1149,68,1332,135.0
1150,733,1183,81.0
1151,260,2691,73.0
1152,1299,2644,16.0
1153,895,3307,1104.0
1154,1607,698,71.0
1155,920,2674,1.0
1156,704,581,429.0
1157,445,3528,167.0
1158,1800,936,137.0
1159,1149,400,528.0
1160,121,1337,65.0
1161,453,3236,682.0
1162,1334,588,282.0
1163,1867,2281,72.0
1164,500,96,140.0
1165,325,1996,920.0
1166,1788,599,665.0
1167,1399,577,300.0
1168,1489,186,574.0
1169,1374,299,68.0
1170,276,1006,240.0
1171,683,3678,71.0
1172,1599,4214,35.0
1173,1851,2569,399.0
1174,1877,4474,20.0
1175,576,2975,410.0
1176,205,918,60.0
1177,1197,284,718.0
1178,1694,3193,319.0
1179,796,118,1392.0
1180,1854,1630,8.0
1181,505,807,1170.0
1182,1070,2567,327.0
1183,1756,2529,283.0
1184,815,962,38.0
1185,1399,1680,175.0
1186,1610,119,880.0
1187,1216,3775,598.0
1188,38,863,454.0
1189,1276,682,33.0
1190,1386,42,308.0
1191,824,1678,34.0
1192,787,3541,526.0
1193,833,597,756.0
1194,988,217,2605.0
1195,1523,344,676.0
1196,1627,1569,333.0
1197,1265,1336,1.0
1198,1089,1190,823.0
1199,1620,346,174.0
1200,1816,505,1281.0
1201,583,1370,565.0
1202,14,376,412.0
1203,878,702,134.0
1204,561,994,65.0
1205,313,1024,2319.0
1206,126,143,87.0
1207,355,613,2060.0
1208,1579,4266,26.0
1209,979,2766,210.0
1210,306,902,551.0
1211,329,962,1134.0
1212,279,766,430.0
1213,863,919,148.0
1214,3,101,236.0
1215,747,186,1051.0
1216,1646,540,16.0
1217,152,1187,67.0
1218,1019,1047,95.0
1219,1235,4302,36.0
1220,188,2439,554.0
1221,1580,3496,1003.0
1222,1674,1670,226.0
1223,1109,576,1034.0
1224,1103,3542,40.0
1225,1827,346,345.0
1226,612,210,506.0
1227,1177,421,39.0
1228,1315,63,182.0
1229,777,165,63.0
1230,1694,2659,170.0
1231,170,309,97.0
1232,1768,773,491.0
1233,1474,1156,89.0
1234,414,2502,70.0
1235,1776,2955,112.0
